               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.045061,            0.066072,             0.02039,             0.59443,             0.49331,             0.51657,             0.32793,            0.044407,            0.050947,            0.019246,            0.002872,            0.002872,            0.002872
                  38,            0.044824,            0.065797,            0.019931,             0.60848,             0.49056,             0.51779,              0.3292,            0.044392,            0.050935,            0.019228,            0.002674,            0.002674,            0.002674
                  39,            0.044542,            0.065776,            0.019611,             0.60942,             0.49074,              0.5181,             0.32963,            0.044386,             0.05093,            0.019217,            0.002476,            0.002476,            0.002476
                  40,            0.044359,            0.065211,            0.019193,             0.60685,             0.49276,             0.51811,             0.32976,            0.044381,            0.050931,            0.019213,            0.002278,            0.002278,            0.002278
                  41,            0.044209,            0.064927,            0.019118,             0.61226,             0.49021,             0.51844,             0.33013,            0.044377,            0.050934,            0.019206,             0.00208,             0.00208,             0.00208
                  42,            0.044006,            0.064854,            0.018794,             0.62448,             0.48611,             0.51875,             0.33008,            0.044374,            0.050934,            0.019209,            0.001882,            0.001882,            0.001882
                  43,            0.043781,            0.064638,            0.018674,              0.6308,             0.48325,             0.51889,             0.33068,            0.044369,            0.050937,            0.019205,            0.001684,            0.001684,            0.001684
                  44,            0.044257,            0.065502,            0.019848,             0.63255,             0.48147,             0.51889,             0.33114,            0.044357,            0.050928,            0.019201,            0.001486,            0.001486,            0.001486
                  45,            0.044062,            0.065086,            0.019685,             0.63347,             0.48149,             0.51913,             0.33125,            0.044346,            0.050916,            0.019192,            0.001288,            0.001288,            0.001288
                  46,            0.043889,            0.065142,            0.019359,             0.62103,             0.48815,             0.51903,             0.33191,            0.044339,            0.050903,            0.019187,             0.00109,             0.00109,             0.00109
                  47,            0.043507,            0.064527,            0.019068,             0.62103,             0.48889,             0.51958,             0.33213,             0.04433,            0.050888,            0.019188,            0.000892,            0.000892,            0.000892
                  48,             0.04331,            0.064468,            0.018765,              0.6201,             0.48711,             0.51939,             0.33205,            0.044323,             0.05088,            0.019183,            0.000694,            0.000694,            0.000694
                  49,            0.043003,            0.064059,            0.018312,             0.62431,              0.4857,             0.51935,             0.33203,            0.044317,            0.050876,            0.019175,            0.000496,            0.000496,            0.000496
