               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.045827,            0.067628,            0.021952,             0.62817,             0.49452,             0.52724,             0.33542,            0.043776,            0.050859,            0.017582,            0.002872,            0.002872,            0.002872
                  38,             0.04561,            0.067492,            0.021712,             0.62937,             0.49498,             0.52714,             0.33582,            0.043743,             0.05083,            0.017558,            0.002674,            0.002674,            0.002674
                  39,            0.045381,             0.06702,            0.021543,             0.63291,             0.49467,             0.52816,             0.33668,            0.043709,            0.050803,            0.017528,            0.002476,            0.002476,            0.002476
                  40,            0.045287,            0.067053,            0.021102,             0.64166,             0.49011,             0.52903,             0.33745,             0.04368,            0.050781,            0.017502,            0.002278,            0.002278,            0.002278
                  41,            0.045007,            0.066558,            0.020873,             0.64281,             0.49069,             0.52971,             0.33819,            0.043651,            0.050757,            0.017471,             0.00208,             0.00208,             0.00208
                  42,            0.044735,            0.066323,            0.020521,             0.64648,             0.48914,             0.53009,             0.33874,            0.043627,            0.050731,            0.017438,            0.001882,            0.001882,            0.001882
                  43,            0.044559,             0.06626,            0.020439,             0.65088,             0.48963,             0.53108,             0.33941,            0.043602,            0.050704,            0.017405,            0.001684,            0.001684,            0.001684
                  44,            0.044718,            0.066375,            0.021024,              0.6494,             0.49006,             0.53153,              0.3399,            0.043573,            0.050664,            0.017382,            0.001486,            0.001486,            0.001486
                  45,            0.044432,            0.066362,            0.020756,             0.65001,             0.49058,             0.53227,             0.34041,            0.043536,            0.050629,            0.017357,            0.001288,            0.001288,            0.001288
                  46,            0.044214,            0.065887,             0.02037,             0.64936,             0.49176,             0.53277,             0.34082,            0.043502,            0.050595,            0.017329,             0.00109,             0.00109,             0.00109
                  47,             0.04401,            0.065722,            0.020037,             0.64772,             0.49253,             0.53311,             0.34155,            0.043467,            0.050559,            0.017293,            0.000892,            0.000892,            0.000892
                  48,            0.043724,            0.065419,            0.019772,             0.64746,             0.49317,              0.5337,             0.34163,            0.043434,            0.050528,            0.017269,            0.000694,            0.000694,            0.000694
                  49,            0.043451,            0.065245,            0.019366,              0.6475,             0.49431,             0.53447,             0.34251,            0.043403,            0.050508,            0.017249,            0.000496,            0.000496,            0.000496
